question,answer
Bagaimana teknik belajar yang efektif agar mendapatkan pemahaman yang lebih baik?,"Lakukan teknik Feynman Method. Feynman method adalah salah satu metode belajar yang metodenya dengan cara mengajarkan apa yang sudah dipelajari kepada orang lain. Idealnya, sang penemu Richard Feynman menyarankan untuk mengajarkan apa yang sudah dipelajari ke orang lain. Namun yang menjadi masalah bagaimana jika kita tidak menemukan orang lain untuk ""diajari""?. Belum lagi masalah ketika kita mengajari orang lain, bagaimana cara agar ia merasa tidak digurui?, Bagaimana cara agar kita tidak terkesan sok tau ketika mengajari orang lain? Kalo dari pengalman saya, cara untuk meminimalisir hal diatas bisa dengan menulis atau membuat rangkuman tentang apa yang sudah dipelajari dengan bahasa sendiri. Bahasa sendiri saya tulis bold soalnya bagian ini sangat penting untuk diperhatikan. Jangan copy paste penjelasan yang ada pada ppt (jika kita menggunakan ppt). Kemampuan menulis dan menyederhanakan sesuatu akan benar-benar dilatih disini. Pada saat menulis, bayangkan kita sedang menjelaskan hal yang kita pelajari ke orang yang sudah sangat akrab dengan kita, yang dengannya kita merasa didengarkan betul-betul dan benar-benar dihargai. Nanti pada saat mindset ini dipraktekkan, biasanya kita pada saat menulis akan lebih mengalir menjelaskan apa yang sudah dipahami (dengan catatan sebelum itu kita sudah paham dengan apa yang sudah dipelajari, mulai dari konsep, kenapa, dan bagaimana materi itu) . Bayangkan metode ini seperti kita menulis tutorial-tutorial yang ada di Medium atau menulis jawabab di Quora.Sebagai tambahan, jika kita mengaitkan metode ini dengan konsep sedekah yang diajarkan agama. Maka akan nampak bahwa sebenarnya dengan metode ini, kita sedang bersedekah ilmu ke orang lain. Dan kita sudah tau kan kebenaran tentang sedekah? Yaps, pada saat sedekah, nanti kita akan mendapat ganjaran yang lebih besar dari apa yang disedekahkan. Yang mana dalam konteks ini, kita akan mendapatkan lebih banyak pemahaman ilmu."
Bagaimana menjelaskan kepada pemula perbedaan library dan framework?,"Bayangkan kita mau membuat sebuah undangan. Mboh undangan organisasi kampus, undangan pernikahan, atau undangan pengajian. Terus kita mikir ""Bagaimana yah cara membuat undangan tersebut"". Biasanya ketika membuat undangan, kita bisa membuatnya dengan 3 cara. Cara pertama Cara pertama yaitu kita membuat undangan dari awal di sebuah dokumen baru. Jadi misal kita membuatnya pake ms word, kita nyiapin new document. Lalu setelah itu, kita sendiri yang membuat manual elemen-elemennya mulai dari kop undangan, header, yth, dan sebagainya. Cara kedua Cara kedua kita juga sama buat dari dokumen baru, tapi kita ada rujukan file undangan yang sudah ada. Jadi semisal kita mau kop undangannya saja seperti yang ada pada rujukan. Ya tinggal copy paste aja elemen yang dibutuhkan ke file undangan kita. File rujukan bisa lebih dari satu untuk menjaga kemungkinan kita ingin menambahkan elemen yang lain pada file rujukan yang berbeda. Cara ketiga Untuk cara ketiga, kita tidak perlu membuat file undangan baru. Kita sudah disediain template file undangan yang sudah jadi. Jadi kita tinggal gunain file template itu dan kita ubah sesuka hati kita tapi dengan mengikuti struktur dari template yang sudah ada. Untuk cara pertama itu kita bisa ibaratkan seperti membuat sesuatu tanpa bantuan library dan framework. Cara kedua kita bisa ibaratkan membuat sesuatu menggunakan library. Dan cara ketiga membuat sesuatu dengan menggunakan framework. Sekarang fokus ke cara kedua dan ketiga. Untuk cara kedua, kita bisa nentuin elemen mana saja yang ingin dipakai dari file rujukan. Sehingga kita akan lebih bebas dalam proses pembuatan undangannya. Ini salah satu keunggulan library yaitu menawarkan kebebasan. Karakteristik dari library yaitu berbasis fungsionalitas. Untuk cara ketiga, karena ini menggunakan template, maka keunggulannya yaitu akan membuat proses pembuatan lebih mudah dan cepat. Karakteristik dari framework adalah berbasis struktur."
"Mengapa programmer yang sudah senior masih suka cari solusi di Internet, terkadang dikodingin, nanya-nanya terkait pemrograman, mencontek program yang sudah ada, membaca dokumentasi, melihat catatan dan minta diajarin hal baru seputar pemrograman?","Asumsi saya mereka tau bahwa fungsi otak yang sebenarnya digunakan untuk mengolah dan memproses data. Mereka juga sadar bahwa jika mereka menghabiskan waktunya untuk fokus menghafal syntax waktu mereka akan terbuang sia-sia. Karena esensi dari programming itu problem solving, bukan menghafal."
Bagaimana cara agar tidak bucin?,Berpikir rasional.
"Apa penjelasan yang paling sederhana mengenai ""Return"" dalam bahasa pemrograman komputer seperti Python dan lain-lain?","Return adalah sebuah konsep yang ada dalam functional programming. Sebenarnya return Tidak hanya terdapat di python, tapi ada di bahasa pemrograman lain. Cara kerjanya yaitu return akan mengembalikan nilai yang ada dalam sebuah function. Maksudnya begini. Jika kita membuat function dan function tersebut dipanggil, maka nilai dari function tersebut sama dengan returnnya. Supaya lebih gampang, kita langsung ke coontoh dibawah ini.def kuadrat(angka):     hasil = angka*angka     return hasil Diatas adalah sebuah function untuk mencari kuadrat dari sebuah angka. Lalu kita tambahkan codetiga_kuadrat = kuadrat(3) print(tiga_kuadrat) # 9 Kasus diatas adalah untuk mencari kuadrat dari angka 3. Yang perlu dipahami, return dari sebuah function itu sama dengan function tersebut ketika dipanggil. Kalau ditulis dalam persamaan matematis itu kira-kira begini.kuadrat(3) = 9 tiga_kuadrat = kuadrat(3) # tiga_kuadrat = 9 Lalu apakah bisa sebuah function tanpa return?. Jawabannya adalah bisa. Kalau code diatas ditulis tanpa return, jadinya akan seperti inidef kuadrat(angka):     hasil = angka*angka  tiga_kuadrat = kuadrat(3) print(tiga_kuadrat) # None Bisa dilihat function kuadrat(3) akan menghasilkan nilai None di console python. Sebenanrnya function tersebut berjalan, tapi karena tidak ada keyword return, jadinya code tersebut tidak mengembalikan nilai. Semoga bisa dipahami :)"
Apakah seorang pemrogram menghafal kode-kode?,"Mustahil untuk menghafal semua kode yang ada dalam bahasa pemrograman. Otak kita tidak didesain untuk menghafal syntax sebanyak itu. Jadi bagaimana biasanya para programmer/developer ketika membuat kode program? Itulah gunanya internet. Internet dan google sudah seperti sahabat oleh programmer. Mereka adalah teman ngoding yang asyik yang sedia membantu ketika menemukan bug atau lupa syntax. Programmer sekelas expert pun masih sering melakukan ini. Membaca dokumentasi dari technology terkait, googling terkait syntax dan error. Hal-hal seperti itu memang sudah lumrah di kalangan programmer. Karena yang paling penting adalah paham konsep dan algoritma pemrograman seperti looping, percabangan, dan lainnya. Dan bisa mengimplementasikan konsep tadi menjadi sebuah kode program yang bisa berjalan. Nanti juga ketika banyak praktek, syntaxnya akan hafal dengan sendirinya kok. Meskipun sulit untuk hafal 100 persen."
Bagaimana cara bangun pagi untuk orang yang susah bangun pagi?,"Tidur lebih awal maksimal jam 10. Namun bagaimana jika jam segitu saya masih belum ngantuk? Oke… berarti pola tidurnya yang memang berantakan. Sekarang pertanyaannya bagaimana mengembalikan pola tidur yang berantakan kembali ke pola tidur yang ideal? Saya punya cara untuk mengembalikan hal ini. Yaitu dengan membuat badan saya secapek-capeknya di siang hari. Bisa dengan berkerja atau apa saja yang bisa membuat badan saya mengeluarkan energi banyak. Dan yang paling penting jangan tidur siang. Ini adalah trik untuk memanipulasi siklus tidur. Nah setelah badan sudah terasa lelah, capek dan ngantuk di malam harinya, maka segera tidur lebih awal. Niatkan untuk bangun jam 4-5. InsyaAllah bisa kok asal niatnya kuat. Setelah itu lakukan hal yang sama kayak kemarin. Jangan tidur siang dan tidur lebih awal. Ini untuk membangun kebiasaan. Makanya butuh repetisi untuk memasukkannya ke dalam bawah sadar."
Apa negara di peta dunia yang memiliki bentuk paling aneh?,"Apakah kamu melihat bentuk yang aneh?Jika tidak, mohon diperhatikan lebih seksama. Jika dilihat, daerah Sumatera, Malaysia, serta Thailand selatan tersebut menghasilkan bentuk mulut buaya yang sedang mangap dengan pulau Sumatera dan semenanjung Malaysia sebagai rahangnya. Bentuk yang unik sekaligus sangat estetik menurut saya."
"Saya seorang pelajar SMA kelas 10, saya mulai tertarik pada pemrograman, dari mana saya memulai nya?","Sudah banyak yang menjawab, tapi saya akan memberikan jawaban lain versi saya sebagai pelengkap. Jika kamu kelas 10 SMA, tidak ada salahnya jika kamu mencoba mengikuti Kompetisi Sains Nasional (KSN) di bidang Informatika. Tujuannya adalah untuk melatih logika berpikir dan melatih problem solving skills. Jangan dibikin beban sampai memasang target juara. Mindset kamu mengikuti ini hanya untuk mengasah problem solving skills. Disini kamu akan menyelesaikan soal-soal logika sederhana sampai yang kompleks. Disini kamu juga akan belajar lebih dalam tentang matematika diskrit (Matematikanya orang Informatika). Disini kamu akan ditantang untuk menyelesaikan beberapa soal pemrograman. Hal ini jika dimanfaatkan dengan baik, bisa menjadi jembatan penghubung kamu ke tujuan kamu selanjutnya. Kamu bisa memulai dari yang paling dasar dulu. Apa itu algoritma. Bagaimana konsep dan cara kerja percabangan dan perulangan (looping). Apa dan bagaimana konsep array. Setelah itu coba berlatih menyelesaikan soal-soal logika. kemampuan analisismu akan diuji disini. Intinya kamu disini membangun mental model sebagai seorang problem solver. Kenapa saya merekomendasikan ini? Karena eman-eman kamu masih kelas 10. Waktumu masih sangat panjang untuk belajar. Karena kalau semisal kamu menyadari bahwa sebenarnya kamu tertarik di programming pas usia 25 tahun, waktu belajarmu tidak seleluasa pas kamu SMA. Alhasil mau belajar aja agak kesusahan karena teringat tanggung jawab yang lain. Sekarang ini banyak yang minat ke IT tapi belajar dasar-dasar nya aja enggan. Pinginnya cepat-cepat belajar framework A, technology A tanpa memperkuat fondasi terlebih dahulu. Nah maksud saya itu biar kamu belajar dasar-dasar nya itu disini. Jadi setelah lulus SMA kamu tinggal menentukan fokus dan tujuanmu di bidang IT itu dimana. Sebagai akhir, saya lampirkan web dari TOKI (Tim Olimpiade Komputer Indonesia) disini."
Apa aplikasi mirip Quora dan sepi pengguna?,"Nama aplikasinya Symbolic ID Berikut tampilannyaDidirikan oleh vokalis Letto, Noe (Sabrang MDP), Symbolic berusaha menjawab tentang keresahan-keresahan yang sering terjadi ketika kita bersosial media. Dimana yang sudah diketahui, bahwa di jaman sekarang orang-orang lebih ingin menjadi populer di medsos ketimbang bermanfaat di medsos. Orang yang melakukan sensasi lebih banyak ditonton dan mendapat atensi ketimbang yang mendapatkan prestasi. Bahkan kadang membuat orang-orang rela melakukan something stupid hanya untuk mengejar view. Symbolic mencoba menawarkan solusi dengan sebuah ruang kajian (RK) yang di dalamnya nama para usernya diubah menjadi anonim. Hal ini dilakukan untuk mencegah terjadinya bias kognitif. Jadi ketika kita melakukan voice up ke sebuah postingan, itu memang karena isi postingannya bermanfaat, bukan karena orangnya. Gimana mau lihat orangnya wong namanya aja diubah menjadi anonim. Sehingga hal ini membuat kita menjadi lebih objektif ketika memberikan penilaian. Ini akan secara tidak langsung membuat viralitas terhadap seseorang itu sulit terjadi disini. Lalu bagaimana jika kita melakukan postingan yang nyeleneh atau provokatif? Kan namanya anonim, jadi aman dong? Tidak semudah itu ferguso. Symbolic sudah mengantisipasi hal itu dengan menyedikan fitur voice down. Jadi jika kita membuat sebuah postingan provokatif, user lain akan melakukan voice down terhadap postingan kita, sehingga kredensial kita di RK itu akan berkurang. Dan ini akan berdampak ketidakpercayaan user lain kepada kita di ruang kajian tersebut. Jadi kayak semacam hukuman sosial gitu. (Hal ini bisa rerjadi jika para user Symbolic sadar akan visi misi dan tujuan Symbolic didirikan). Buat yang masih bingung kredensial dilihat dari mana akan saya tunjukkan contohnya.Bisa dilihat terdapat bintang yang menandakan rating kita di ruang kajian tersebut. Bintang tersebut didapat ketika postingan kita mendapatkan voice up di RK yang bersangkutan. Begitupun sebaliknya jika kita mendapat voice down. Jadi misal ada user yang memiliki bintang 2 di RK psikologi melakukan provokasi, maka user lain akan memvoice down threat user tersebut. Sehingga ini akan mempengaruhi kredensialnya yang awalnya bintang 2 bisa turun ke bintang 1 atau bahkan hilang bintangnya. Jika kita membuat sebuah postingan bermanfaat dan user lain merasa terbantu dan memberikan voice up, bintang kita di RK tersebut akan naik tergantung dari kalkulasi yang dilakukan oleh sistem Symbolic. Jadi bisa dibilang track record user di suatu RK dapat dilihat dari bintang tersebut. Tapi balik lagi, semua hal tersebut bisa terjadi jika para usernya memiliki kesadaran yang sama dengan penggagas Symbolic. Mau berkolaborasi untuk menciptakan gebrakan baru yang anti mainstream dari sosmed lain. Makanya saya lebih suka menyebut Symbolic ini sebagai sebuah komunitas."
Bagaimana saya mulai belajar bahasa pemrograman?,"Jangan belajar bahasa pemrograman. Tapi belajarlah paradigma/konsep dasar pemrograman terlebih dahulu. Kenapa? Karena semua bahasa pemrograman itu 90% memiliki konsep yang sama. Ada percabangan, perulangan (looping), dan tipe data. Tipe data yang biasanya semua bahasa pemrograman punya yaitu int, float, string, dan array. Setelah konsep dasar kita kuasai, baru kita pilih salah satu bahasa pemrograman untuk menguji kemampuan kita mengenai konsep yang telah dipelajari tadi. Pertama bisa dengan mencoba dan mengekplorasi bagaimana cara kerja looping di bahasa pemrograman yang dipilih. Lalu dilanjutkan dengan percabangan. Lalu coba eksperimen ganti tipe datanya. Bagaimana jika tipe datanya string atau array. Bagaimana cara kerjanya. coba perhatikan dan pahami juga sintaksnya Setelah dirasa cukup, baru kita menguji kemampuan kita dengan membuat sebuah projek yang sederhana. Projek yang direkomendasikan misalnya kalkulator atau konversi suhu. Dengan kita melakukan ini, kita sudah menerapkan metode learning by doing, yang menurut penelitian metode ini akan membuat pemahaman kita akan makin nempel ke otak. Lalu bagaimana jika kita ingin pindah ke bahasa pemrograman lain? Karena kita sudah paham konsep dasarnya, maka ketika switch bahasa pemrograman kita cukup pelajari sintaksnya saja. Dan untuk mengetahui sintaks yang akurat, internet sudah sangat banyak menyediakan sumbernya. Sumber yang paling saya rekomendasikan yaitu w3schools. Situs tersebut diibaratkan sudah menjadi ""Kamus"" wajib bagi para developer. Berdasarkan pengalaman saya, w3schools saya tempatkan di urutan teratas sebagai referensi ketika sudah mulai lupa dengan sintaks bahasa pemrograman."
Berapa banyak yang kamu hasilkan dari menjual foto di Shutterstock?,"Ini adalah penghasilan saya di shutterstock sejak tahun 2019. Alhamdulillah masih ada yang download meskipun sedikit. Yah setidaknya setiap bulan masih ada yg download. Meskipun masuknya cuman 0.1$ tapi gapapalah 😅 Saya mulai rutin upload di Shutterstock sejak bulan April 2019. Tapi dikarenakan kesibukan kuliah, kegiatan rutin upload saya terhenti di bulan November 2019. Saya sendiri masih belum tau mau ngelanjut main Shutterstock apa nggak. Soalnya mood dan semangatnya udah ga kayak dulu lagi 😅."
Apa saran terbaikmu untuk kepribadian INFP mengingat INFP kepribadian bertolak belakang di dunia ini?,"Ini saya copaskan kutipan dari mas Syahrul Shiddiq Syahrul Shiddiq dari salah satu komen di jawaban Jawaban Syahrul Shiddiq untuk Bagaimana cara kerja fungsi Shadow MBTI (nemesis, critic, trickster, dan demon)?Coba lupakan sejenak kamu adalah INFP dan lebih fokus ke hal yang bisa kamu lakukan sekarang. Semua butuh proses dan karena INFP sering lupa waktu, jangan menunda-nunda dan lgsg lah bergerak. Ne kamu akan otomatis menemukan sesuatu saat kamu memaksakan diri utk bergerak meskipun kamu tidak suka. Percaya deh.Saya setuju sama Mas Syahrul. Cobalah mulai fokus pada apa yang ada di depanmu. Fokuslah pada hal yang bisa kamu ubah, bisa kamu lakukan. Selama ini kita selalu fokus kepada INFP nya, kenapa INFP, bagaimana INFP, apa yang salah dengan INFP. Why? Sebenarnya itu tidak salah, malah bagus sebagai langkah awal untuk lebih mengenal diri. Tapi selanjutnya apa? How?. Apakah kita akan terus berkutat dalam kepala kita? Sudah saatnya kita melangkah satu langkah ke depan. Saatnya kita menyadari akan adanya potensi dan memanfaatkan potensi tersebut di kehidupan nyata. Saran saya yang lain, cobalah untuk belajar menerima apapun kondisi yang dialami. Baik kondisi diri sendiri, ataupun kondisi di luar diri. Untuk menerima hal yang enak, saya kira tidak ada masalah. Tapi untuk menerima hal-hal sulit/gaenak di dalam kehidupan? Tidak semudah membalikkan telapak tangan memang. Disitu butuh perjuangan dan kesabaran. Saya rasa INFP dianugerahi kemampuan intrapersonal yang baik berkat Fi. Jadi sebisa mungkin untuk melatih Fi supaya lebih bisa mengenali akan diri sendiri.Barang siapa mengenal dirinya, maka dia akan mengenal Tuhannya. Ketika titik demi titik perjalanan dilalui seseorang untuk masuk ke dalam dirinya. Keindahan-keindahan akan tersingkap seiring waktu. Hanya hati yang gigih lah yang bisa mencapaimya.Yaps, saya tau ini sulit. Prakteknya memang tidak semudah teori. Tapi dari situlah kita ditempa untuk menjadi wadah yang siap menampung keindahan-keindahan yang tidak ternilai harganya."
